电影名,类型,上映时间
釜山行2：半岛,动作／惊悚,2020-08-12
唐人街探案2,喜剧／动作／悬疑,2020-08-12
天气之子,爱情／动画／奇幻,2020-08-12
第一次的离别,剧情／家庭,2020-08-12
误杀,剧情／犯罪,2020-08-12
釜山行,动作／惊悚／灾难,2020-08-12
我在世界城等你,短片,2020-08-12
少年的你,爱情／青春／剧情,2020-08-12
寻梦环游记,动画／冒险／家庭,2020-08-12
大话西游之大圣娶亲,喜剧／爱情／奇幻／古装,2020-08-12
